city,lat,lng,population,capital
Taiyuan,37.8733,112.5425,4201592,admin
Zhaoqing,23.05,112.4667,4151700,minor
Xiaoxita,30.7083,111.2803,4137900,minor
Xiamen,24.4797,118.0819,4110000,minor
Liuzhou,24.3264,109.4281,4041700,minor
Zhuzhou,27.8407,113.1469,4020800,minor
Amman,31.95,35.9333,4007526,primary
Deyang,31.1289,104.395,3877000,minor
Qingyuan,23.6842,113.0507,3874000,minor
Kano,12,8.5167,3848885,admin
Wuhu,31.334,118.3622,3842100,minor
Yokohama,35.4333,139.6333,3757630,admin
Neijiang,29.5872,105.0635,3702847,minor
Baicheng,23.901,106.6194,3669400,minor
Berlin,52.5167,13.3833,3664088,primary
Lanzhou,36.0617,103.8318,3616163,admin
Puyang,35.7639,115.03,3598740,minor
Hechi,24.6928,108.085,3545700,minor
Busan,35.1,129.0403,3453198,admin
Algiers,36.7764,3.0586,3415811,primary
Shiyan,32.6351,110.7755,3398000,minor
Lucknow,26.847,80.947,3382000,admin
Changzhi,36.1953,113.097,3334565,minor
Qinzhou,21.95,108.6167,3304400,minor
Bazhou,31.8576,106.7559,3283148,minor
Qincheng,34.5809,105.7311,3262549,minor
Zhongshan,22.5333,113.35,3260000,minor
Suining,30.5098,105.5737,3252619,minor
Faisalabad,31.418,73.079,3203846,minor
Guang'an,30.4673,106.6336,3205476,minor
Santa Cruz,-17.7892,-63.1975,3151676,admin
Tongliao,43.6172,122.264,3139153,minor
Zhenjiang,32.2109,119.4551,3113384,minor
Urumqi,43.8225,87.6125,3112559,admin
Heyuan,23.7503,114.6923,3093900,minor
Jaipur,26.9167,75.8667,3073350,admin
Xinzhou,38.4178,112.7233,3067501,minor
Wuzhou,23.4833,111.3167,3061100,minor
Addis Ababa,9.0272,38.7369,3041002,primary
Brasilia,-15.7939,-47.8828,3015268,primary
Mashhad,36.3069,59.6042,3001184,admin
Shaoguan,24.8011,113.5927,2997600,minor
Kuwait City,29.375,47.98,2989000,primary
Shanwei,22.7664,115.3331,2993600,minor
Quezon City,14.6333,121.0333,2960048,admin
Kyiv,50.45,30.5236,2963199,primary
Sanaa,15.35,44.2,2957000,primary
Guatemala City,14.6099,-90.5252,2934841,primary
Incheon,37.4639,126.6486,2913024,admin
Ningde,26.6617,119.5228,2910000,minor
Putian,25.4394,119.0103,2900000,minor
Bandung,-6.95,107.5667,2875673,admin
Surabaya,-7.2458,112.7378,2885555,admin
Salvador,-12.9708,-38.5108,2886698,admin
Denver,39.7621,-104.8759,2876625,admin
Rome,41.8931,12.4828,2872800,primary
La Paz,-16.4942,-68.1475,2867504,primary
Hohhot,40.8151,111.6629,2866615,admin
Pyongyang,39.03,125.73,2863000,primary
Taichung,24.15,120.6667,2803894,admin
Weihai,37.5,122.1,2804771,minor
Rizhao,35.4164,119.4331,2801013,minor
Mudanjiang,44.5861,129.5997,2798723,minor
Kaohsiung,22.6167,120.3,2773533,admin
Guayaquil,-2.19,-79.8875,2723665,admin
Dingxi,35.5806,104.6263,2698624,minor
Nanping,26.6448,118.1728,2690000,minor
Chaozhou,23.67,116.63,2656600,minor
Gulou,26.0819,119.2981,2606000,minor
Longyan,25.0881,117.0244,2640000,minor
Huludao,40.7094,120.8378,2623541,minor
Antananarivo,-18.9386,47.5214,2610000,primary
Yanjiang,30.1256,104.6397,2593843,minor
Chattogram,22.335,91.8325,2581643,admin
Santo Domingo,18.4764,-69.8933,2581827,primary
Sanming,26.2658,117.6302,2580000,minor
Yangjiang,21.8556,111.9627,2555600,minor
Jiamusi,46.8081,130.3653,2552097,minor
Ibadan,7.3964,3.9167,2550593,admin
Luohe,33.583,114.0109,2544266,minor
Medellin,6.2447,-75.5748,2529403,admin
Yunfu,22.9242,112.0353,2526900,minor
Dubai,25.2697,55.3094,2502715,admin
Tashkent,41.3,69.2667,2497900,primary
Cali,3.44,-76.5197,2471474,admin
Huangshi,30.2018,115.0326,2471700,minor
Ouagadougou,12.3686,-1.5275,2453496,primary
Daegu,35.8667,128.6,2461002,admin
Fortaleza,-3.7275,-38.5275,2452185,admin
Yaounde,3.8578,11.5181,2440462,primary
Douala,4.05,9.7,2446945,admin
Lianshan,40.7523,120.828,2426000,minor
Yingkou,40.6653,122.2297,2428534,minor
Yuxi,24.3495,102.5432,2386000,minor
Brisbane,-27.4678,153.0281,2360241,admin
Kuaidamao,41.7302,125.9471,2324439,minor
Accra,5.6037,-0.187,2291352,primary
Fukuoka,33.6,130.4167,2280000,admin
Jincheng,35.4906,112.8483,2279146,minor
Laibin,23.7333,109.2333,2233900,minor
Xining,36.6239,101.7787,2208708,admin
Ma'anshan,31.6858,118.5101,2202899,minor
Baku,40.3667,49.8352,2181800,primary
Gaoping,30.7824,106.1281,2174000,minor
Harare,-17.8292,31.0522,2150000,primary
Havana,23.1367,-82.3589,2141652,primary
Phnom Penh,11.5696,104.921,2129371,primary
Ningbo,29.875,121.5492,2125500,minor
Mogadishu,2.0408,45.3425,2120000,primary
Medan,3.6667,98.6667,2109330,admin
Qingyang,24.8141,118.5792,2111000,minor
Haiphong,20.8,106.6667,2103500,admin
Chongzuo,22.4167,107.3667,2099400,minor
Rawalpindi,33.6007,73.0679,2098231,minor
Kumasi,6.6833,-1.6167,2069350,admin
Hezhou,24.4164,111.5478,2072600,minor
Pingliang,35.5412,106.6819,2068033,minor
Perth,-31.9522,115.8589,2039200,admin
Shengli,37.45,118.4667,2035338,minor
Gujranwala,32.15,74.1833,2027001,minor
Baicheng,45.6148,122.832,2032356,minor
Bamako,12.6458,-7.9922,2009109,primary
Quito,-0.22,-78.5125,2011388,primary
Minsk,53.9022,27.5618,2009786,primary
Yinchuan,38.4795,106.2254,1993088,admin
Kananga,-5.8961,22.4167,1971704,admin
Peshawar,34,71.5,1970042,admin
Sapporo,43.0621,141.3544,1961690,admin
Esfahan,32.6447,51.6675,1961260,admin
Caracas,10.5,-66.9333,1943901,primary
Pingxiang,27.6333,113.85,1933200,minor
Aleppo,36.2,37.15,1916781,admin
Tijuana,32.525,-117.0333,1922523,minor
Almaty,43.25,76.9,1916822,admin
Vienna,48.2083,16.3725,1911191,primary
Sacramento,38.5667,-121.4683,1898019,admin
Blantyre,-15.7861,35.0058,1895973,admin
Tainan,22.9833,120.1833,1883831,admin
Zhuhai,22.2769,113.5678,1891100,minor
Bucharest,44.4,26.0833,1883425,primary
Curitiba,-25.4297,-49.2719,1879355,admin
Multan,30.1978,71.4711,1871843,minor
Xiping,40.082,113.2981,1873000,minor
Ecatepec,19.6097,-99.06,1857188,minor
Jixi,45.2937,130.965,1862165,minor
Saidu Sharif,34.75,72.3572,1860310,minor
Hamburg,53.55,10,1852478,admin
Meru,0.05,37.65,1833000,admin
Brazzaville,-4.2667,15.2833,1827000,primary
Wuwei,37.9278,102.6329,1815059,minor
Manaus,-3.1,-60.0167,1802014,admin
Bhopal,23.25,77.4167,1798218,admin
Warsaw,52.23,21.0111,1790658,primary
Lubumbashi,-11.6697,27.4581,1786397,admin
Davao,7.0667,125.6,1776949,admin
Haikou,20.02,110.32,1776141,admin
Damascus,33.5131,36.2919,1754000,primary
Brussels,50.8353,4.3314,1743000,primary
Lusaka,-15.4167,28.2833,1742979,primary
Hyderabad City,25.3792,68.3683,1732693,minor
Budapest,47.4983,19.0408,1723836,primary
Shuozhou,39.3408,112.4292,1714857,minor
Baiyin,36.5448,104.1766,1708751,minor
Patna,25.61,85.1414,1684222,admin
Mosul,36.3667,43.1167,1694000,admin
Caloocan City,14.65,120.9667,1661584,admin
Austin,30.3004,-97.7522,1687311,admin
Beihai,21.4667,109.1,1680000,minor
Mecca,21.4225,39.8261,1675368,admin
Heihe,50.2458,127.4886,1673899,minor
Jingdezhen,29.2942,117.2036,1673200,minor
Conakry,9.538,-13.6773,1667864,primary
Kampala,0.3136,32.5811,1659600,primary
Recife,-8.0539,-34.8808,1653461,admin
Yushan,31.3867,120.9766,1651200,minor
Semarang,-6.9667,110.4167,1621384,admin
Novosibirsk,55.0333,82.9167,1602915,admin
Karaj,35.8327,50.9915,1592492,admin
Indianapolis,39.7771,-86.1458,1588961,admin
Leon de los Aldama,21.1167,-101.6833,1579803,minor
Puebla,19.0333,-98.1833,1576259,admin
Madurai,9.9197,78.1194,1561129,minor
Mbuji-Mayi,-6.1209,23.5967,1559073,admin
Shiraz,29.61,52.5425,1565572,admin
Columbus,39.9862,-82.985,1562009,admin
Tabriz,38.0833,46.2833,1558693,admin
Maracaibo,10.6333,-71.6333,1551539,admin
Aba,5.1167,7.3667,1530000,minor
Palembang,-2.9833,104.7644,1535952,admin
Zhangjiajie,29.1255,110.4844,1537900,minor
Kobe,34.6913,135.183,1513193,admin
Yucheng,29.9888,103.0007,1507258,minor
Belem,-1.4558,-48.5039,1499641,admin
Guiping,23.4,110.0833,1496904,minor
Leizhou,20.9147,110.0806,1494700,minor
Gwangju,35.1667,126.9167,1490092,admin
Munich,48.1375,11.575,1488202,admin
Porto Alegre,-30.0328,-51.23,1484941,admin
Valencia,10.1667,-68,1484430,admin
Onitsha,6.1667,6.7833,1483000,minor
Abu Dhabi,24.4511,54.3969,1483000,primary
Daejeon,36.351,127.385,1475221,admin
Zapopan,20.7167,-103.4,1476491,minor
Yekaterinburg,56.8356,60.6128,1468833,admin
Huazhou,32.6832,112.079,1468061,minor
Kyoto,35.0117,135.7683,1464890,admin
Shuangyashan,46.6388,131.1545,1462626,minor
Kharkiv,50,36.2292,1446107,admin
Yangshe,31.8775,120.5512,1432044,minor
Khulna,22.8167,89.55,1400689,admin
Muscat,23.6139,58.5922,1421409,primary
Chizhou,30.6583,117.4849,1402518,minor
Ulaanbaatar,47.9214,106.9055,1396288,primary
Goiania,-16.6806,-49.2564,1393575,admin
Fuqing,25.7232,119.3735,1390487,minor
Belgrade,44.8167,20.4667,1378682,primary
Milan,45.4669,9.19,1366180,admin
Yutan,28.3147,112.554,1368117,minor
Huangshan,29.7132,118.3151,1358980,minor
Auckland,-36.85,174.7833,1346091,admin
Makassar,-5.1331,119.4136,1338663,admin
Santiago,19.45,-70.7,1343423,admin
Prague,50.0833,14.4167,1335084,primary
Cordoba,-31.4167,-64.1833,1329604,admin
Al Basrah,30.515,47.81,1326564,admin
Saitama,35.8617,139.6453,1320571,admin
Juarez,31.7386,-106.487,1321004,minor
Montevideo,-34.8667,-56.1667,1319108,primary
Wusong,30.9333,117.7667,1311726,minor
Yangquan,37.8576,113.5762,1300000,minor
Adelaide,-34.9275,138.6,1295714,admin
Baishan,41.9377,126.4179,1296127,minor
Haicheng,40.8523,122.7474,1293877,minor
Wuzhong,37.9874,106.1919,1284000,minor
Barranquilla,10.9639,-74.7964,1274250,admin
Sofia,42.6979,23.3217,1277411,primary
Rucheng,32.3852,120.5634,1267066,minor
Nizhniy Novgorod,56.3269,44.0075,1264075,admin
Shaoyang,32.9387,119.8404,1253548,minor
Sharjah,25.3575,55.3919,1247749,admin
Kazan,55.7908,49.1144,1243500,admin
Suwon,37.2858,127.01,1234300,admin
Can Tho,10.0333,105.7833,1237300,admin
Abuja,9.0556,7.4914,1235880,primary
Mandalay,21.9831,96.0844,1225546,admin
Beidao,34.602,105.918,1225000,minor
Dadukou,26.5849,101.7149,1214121,minor
Chelyabinsk,55.15,61.4,1202371,admin
Mombasa,-4.05,39.6667,1200000,admin
Providence,41.823,-71.4187,1203230,admin
Qom,34.64,50.8764,1201158,admin
Zhangye,38.9355,100.4553,1199515,minor
Hiroshima,34.4,132.45,1198021,admin
Maiduguri,11.8333,13.15,1197497,admin
Maputo,-25.9153,32.5764,1191613,primary
Doha,25.3,51.5333,1186023,primary
Rosario,-32.9575,-60.6394,1193605,minor
Xinyu,27.795,114.9242,1186700,minor
Ahvaz,31.3203,48.6692,1184788,admin
Medina,24.4667,39.6,1180770,admin
Srinagar,34.0911,74.8061,1180570,admin
Omsk,54.9667,73.3833,1178391,admin
Cilacap,-7.7167,109.017,1174964,minor
Bandar Lampung,-5.4294,105.2625,1166761,admin
Samara,53.1833,50.1167,1169719,admin
Guankou,28.2363,113.6984,1168056,minor
Ulsan,35.55,129.3167,1166033,admin
Lianyuan,27.6961,111.6659,1162928,minor
Dakar,14.7319,-17.4572,1146053,primary
Rongcheng,29.8239,112.9019,1162770,minor
Kaiyuan,36.0656,113.8153,1160000,minor
Nay Pyi Taw,19.7475,96.115,1160242,primary
Kigali,-1.9536,30.0606,1156663,primary
Leiyang,26.4179,112.8457,1151554,minor
Yichun,47.7235,128.8893,1148126,minor
Benin City,6.3176,5.6145,1147188,admin
Callao,-12.0611,-77.1333,1129854,admin
Monterrey,25.6667,-100.3,1135512,admin
Yingchuan,34.1511,113.4733,1131896,minor
Tripoli,32.8752,13.1875,1126000,primary
Rostov,47.2333,39.7167,1125299,admin
Tegucigalpa,14.0942,-87.2067,1126534,primary
Tbilisi,41.7225,44.7925,1118035,primary
Ufa,54.7261,55.9475,1115560,admin
Fes,34.0433,-5.0033,1112072,admin
Bien Hoa,10.9508,106.8221,1104000,admin
N'Djamena,12.11,15.05,1092066,primary
Ikare,7.5304,5.76,1099931,minor
Salt Lake City,40.7777,-111.9306,1098526,admin
Tamale,9.4075,-0.8533,1095808,admin
Xibeijie,39.737,98.5049,1095947,minor
Copenhagen,55.6805,12.5615,1085000,primary
Nezahualcoyotl,19.4,-98.9889,1077208,minor
Krasnoyarsk,56.0089,92.8719,1083865,admin
Yicheng,31.3697,119.8239,1082929,minor
Nashville,36.1715,-86.7843,1081903,admin
Yerevan,40.1814,44.5144,1075800,primary
Nur-Sultan,51.1333,71.4333,1078362,primary
Nouakchott,18.0858,-15.9785,1077169,primary
Richmond,37.5295,-77.4756,1075798,admin
Sao Luis,-2.53,-44.3028,1073893,admin
Ranchi,23.3556,85.3347,1073440,admin
San Pedro Sula,15.5,-88.0333,1073824,admin
Taixing,32.1724,120.0142,1073921,minor
Goyang,37.6564,126.835,1061929,minor
Edmonton,53.5344,-113.4903,1062643,admin
Bishkek,42.8667,74.5667,1053900,primary
Mizhou,35.99,119.3801,1060000,minor
Tunis,36.8008,10.18,1056247,primary
Xishan,27.6609,113.4946,1060000,minor
Ezhou,30.3972,114.8842,1059700,minor
Barquisimeto,10.0678,-69.3467,1059092,admin
Sendai,38.2683,140.8694,1058070,admin
Hegang,47.3139,130.2775,1058665,minor
Kathmandu,27.7167,85.3667,975453,primary
Mexicali,32.6633,-115.4678,1049792,admin
Voronezh,51.6717,39.2106,1047549,admin
Perm,58.0139,56.2489,1048005,admin
Changwon,35.2281,128.6811,1046054,admin
Zhongwei,37.5139,105.1884,1046000,minor
Raleigh,35.8325,-78.6435,1038738,admin
Cartagena,10.4236,-75.5253,1036412,admin
Chandigarh,30.7353,76.7911,1026459,admin
Ogbomoso,8.1333,4.25,1032000,minor
Shymkent,42.3,69.6,1028673,admin
Niamey,13.5086,2.1111,1026848,primary
Taizhou,28.6583,121.4221,1030200,minor
Managua,12.15,-86.2667,1028808,primary
Maceio,-9.6658,-35.735,1025360,admin
Monrovia,6.3106,-10.8047,1021762,primary
Odesa,46.4775,30.7326,1017699,admin
Port-au-Prince,18.5425,-72.3386,987310,primary
Villahermosa,17.9892,-92.9281,1013484,admin
Thu Duc,10.7924,106.7518,1013795,minor
Volgograd,48.7086,44.5147,1015586,admin
Islamabad,33.6989,73.0369,1014825,primary
Raipur,21.2379,81.6337,1010087,admin
Arequipa,-16.3988,-71.5369,1008290,admin
Port Harcourt,4.75,7,1005904,admin
Quetta,30.192,67.007,1001205,admin
Ottawa,45.4247,-75.695,989567,primary
Stockholm,59.3294,18.0686,975819,primary
Asmara,15.3333,38.9167,963000,primary
Freetown,8.4833,-13.2331,951000,primary
Vientiane,17.9667,102.6,948487,primary
Jerusalem,31.7833,35.2167,919438,primary
Bangui,4.3732,18.5628,889231,primary
Panama City,9,-79.5,880691,primary
Amsterdam,52.3667,4.8833,862965,primary
Lome,6.1319,1.2228,837437,primary
Libreville,0.3901,9.4544,797003,primary
Zagreb,45.8131,15.9772,790017,primary
Dushanbe,38.5731,68.7864,778500,primary
Lilongwe,-13.9833,33.7833,781538,primary
Cotonou,6.402,2.518,762000,primary
Colombo,6.9167,79.8333,752993,primary
Pretoria,-25.7464,28.1881,741651,primary
Winnipeg,49.8844,-97.1464,705244,admin
Quebec City,46.8139,-71.2081,705103,admin
Oslo,59.9111,10.7528,693494,primary
Athens,37.9842,23.7281,664046,primary
Bujumbura,-3.3825,29.3611,658859,primary
Helsinki,60.1756,24.9342,642045,primary
Skopje,41.9833,21.4333,640000,primary
Chisinau,47.0228,28.8353,639000,primary
Riga,56.9475,24.1069,614618,primary
Kingston,17.9714,-76.7931,580000,primary
Rabat,34.0253,-6.8361,572717,primary
Vilnius,54.6833,25.2833,574147,primary
San Salvador,13.6989,-89.1914,567698,primary
Djibouti,11.595,43.1481,562000,primary
Dublin,53.3497,-6.2603,553165,primary
The Hague,52.08,4.31,537833,primary
Asuncion,-25.3,-57.6333,524190,primary
Lisbon,38.708,-9.139,506654,primary
Bratislava,48.1447,17.1128,475503,primary
Tallinn,59.4372,24.745,438341,primary
Beirut,33.8869,35.5131,361366,primary
Cape Town,-33.925,18.425,433688,primary
Tirana,41.33,19.82,418495,primary
Wellington,-41.2889,174.7772,418500,primary
Dodoma,-6.1835,35.746,410956,primary
Halifax,44.6475,-63.5906,403131,admin
Bissau,11.8592,-15.5956,395954,primary
Canberra,-35.2931,149.1269,381488,primary
Juba,4.85,31.6,372410,primary
Yamoussoukro,6.8161,-5.2742,355573,primary
Victoria,48.4283,-123.3647,335696,admin
Maseru,-29.31,27.48,330790,primary
Nicosia,35.1725,33.365,330000,primary
Windhoek,-22.57,17.0836,322500,primary
Port Moresby,-9.4789,147.1494,317374,primary
Porto-Novo,6.4833,2.6167,300000,primary
Sucre,-19.0431,-65.2592,300000,primary
San Jose,9.9333,-84.0833,288054,primary
Ljubljana,46.05,14.5167,286745,primary
Sarajevo,43.8563,18.4132,275524,primary
Nassau,25.0667,-77.3333,274400,primary
Bloemfontein,-29.1,26.2167,256185,primary
Fort-de-France,14.6104,-61.08,253995,primary
New Delhi,28.6139,77.209,249998,primary
Gaborone,-24.6569,25.9086,231626,primary
Paramaribo,5.8667,-55.1667,223757,primary
Dili,-8.5536,125.5783,222323,primary
Male,4.175,73.5083,133019,primary
Georgetown,6.7833,-58.1667,200500,primary
Gibraltar,36.1324,-5.3781,187083,primary
Saint-Denis,-20.8789,55.4481,190047,primary
Malabo,3.7521,8.7737,187302,primary
Podgorica,42.4397,19.2661,174515,primary
Manama,26.225,50.5775,157474,primary
Port Louis,-20.1667,57.5,149194,primary
Willemstad,12.108,-68.935,150000,primary
Bern,46.948,7.4474,133798,primary
Papeete,-17.5334,-149.5667,131695,primary
Luxembourg,49.6106,6.1328,128512,primary
Reykjavik,64.1475,-21.935,128793,primary
Praia,14.9177,-23.5092,127832,primary
Sri Jayewardenepura Kotte,6.9,79.9164,115826,primary
Bridgetown,13.0975,-59.6167,110000,primary
Moroni,-11.7036,43.2536,111329,primary
Thimphu,27.4833,89.6333,104000,primary
Mbabane,-26.3208,31.1617,94874,primary
Noumea,-22.2625,166.4443,93060,primary
Honiara,-9.4333,159.95,84520,primary
Suva,-18.1333,178.4333,88271,primary
Ankara,39.93,32.85,77168,primary
Castries,14.0167,-60.9833,70000,primary
Cayenne,4.933,-52.33,61550,primary
Sao Tome,0.3333,6.7333,56166,primary
Port-Vila,-17.7333,168.3167,51437,primary
Hamilton,32.2942,-64.7839,52320,primary
Bandar Seri Begawan,4.9167,114.9167,50000,primary
Monaco,43.7396,7.4069,36371,primary
Gitega,-3.4283,29.925,41944,primary
Port of Spain,10.6667,-61.5167,37074,primary
Apia,-13.8333,-171.8333,37708,primary
Tarawa,1.3382,173.0176,28802,primary
Oranjestad,12.5186,-70.0358,34980,primary
Saint Helier,49.1858,-2.11,33522,primary
Banjul,13.4531,-16.5775,31356,primary
Mamoudzou,-12.7871,45.275,32057,primary
Majuro,7.0918,171.3802,30000,primary
Douglas,54.15,-4.4819,27938,primary
George Town,19.2866,-81.3744,27704,primary
Victoria,-4.6236,55.4544,26450,primary
Kingstown,13.1667,-61.2333,25000,primary
Andorra la Vella,42.5,1.5,22615,primary
Saint John's,17.1211,-61.8447,21926,primary
Nuku`alofa,-21.1347,-175.2083,23221,primary
Ashgabat,37.95,58.3833,19426,primary
Nuuk,64.175,-51.7333,18326,primary
Belmopan,17.25,-88.7675,17222,primary
Roseau,15.3,-61.3833,16582,primary
Basseterre,17.2983,-62.7342,13220,primary
Torshavn,62,-6.7833,13326,primary
Pago Pago,-14.274,-170.7046,12576,primary
Valletta,35.8978,14.5125,6444,primary
Gaza,31.5069,34.456,,primary
Grand Turk,21.4664,-71.136,5801,primary
Palikir,6.9178,158.185,6227,primary
Funafuti,-8.5243,179.1942,6025,primary
Vaduz,47.1397,9.5219,5668,primary
Lobamba,-26.4465,31.2064,5800,primary
Avarua,-21.207,-159.771,5445,primary
Saint George's,12.0444,-61.7417,4315,primary
San Marino,43.932,12.4484,4040,primary
Al Quds,31.7764,35.2269,,primary
Capitol Hill,15.2137,145.7546,2500,primary
Stanley,-51.7,-57.85,2213,primary
Vatican City,41.9033,12.4534,825,primary
Alofi,-19.056,-169.921,1611,primary
Basse-Terre,16.0104,-61.7055,307,primary
Hagta,13.4745,144.7504,1051,primary
Marigot,18.0706,-63.0847,,primary
Jamestown,-15.9251,-5.7179,714,primary
Brades,16.7928,-62.2106,391,primary
